"Kind","LastWriteTime","Length","RelativePath"
"tracked","2026/6/7 6:52:51","1919","40_quality_evidence\deepseek_p2_real_site_semantic_review.csv"
"tracked","2026/6/7 6:52:51","349","40_quality_evidence\deepseek_p2_real_site_semantic_review.md"
"tracked","2026/6/7 6:52:51","3139","40_quality_evidence\deepseek_p2_input_schema_candidates_review.csv"
"tracked","2026/6/7 6:52:51","343","40_quality_evidence\deepseek_p2_input_schema_candidates_review.md"
"tracked","2026/6/7 6:52:51","3527","40_quality_evidence\deepseek_p2_completion_readiness_audit_review.csv"
"tracked","2026/6/7 6:52:51","252","40_quality_evidence\deepseek_p2_completion_readiness_audit_review.md"
"tracked","2026/6/7 6:52:51","5781","40_quality_evidence\deepseek_p2_source_coverage_audit_review.csv"
"tracked","2026/6/7 6:52:51","378","40_quality_evidence\deepseek_p2_source_coverage_audit_review.md"
"tracked","2026/6/7 6:52:51","3995","40_quality_evidence\deepseek_p2_geometry_proxy_audit_review.csv"
"tracked","2026/6/7 6:52:51","288","40_quality_evidence\deepseek_p2_geometry_proxy_audit_review.md"
"tracked","2026/6/7 6:52:51","5769","40_quality_evidence\deepseek_p3_prework_package_review.csv"
"tracked","2026/6/7 6:52:51","286","40_quality_evidence\deepseek_p3_prework_package_review.md"
"tracked","2026/6/7 6:52:51","4652","40_quality_evidence\deepseek_p3_calibration_execution_package_review.csv"
"tracked","2026/6/7 6:52:51","232","40_quality_evidence\deepseek_p3_calibration_execution_package_review.md"
"tracked","2026/6/7 6:52:51","2273","40_quality_evidence\deepseek_p4_feedback_draft_review.csv"
"tracked","2026/6/7 6:52:51","59","40_quality_evidence\deepseek_p4_feedback_draft_review.md"
"tracked","2026/6/7 6:52:51","1347","70_outputs\processed_tables\p2_persona_parameter_prototype.csv"
"tracked","2026/6/7 6:52:51","1824","70_outputs\processed_tables\p2_demand_trigger_matrix.csv"
"tracked","2026/6/7 6:52:51","1750","70_outputs\processed_tables\p2_candidate_method_readiness_scores.csv"
"tracked","2026/6/7 6:52:51","1117","70_outputs\processed_tables\p2_supply_gap_scoring_formula.csv"
"tracked","2026/6/7 6:52:51","795","40_quality_evidence\p2_method_prototype_report.md"
"tracked","2026/6/7 6:52:51","1134","70_outputs\processed_tables\p2_postman_api_contract_draft.csv"
"tracked","2026/6/7 6:52:51","4320","40_quality_evidence\p2_method_prototype_review.csv"
"tracked","2026/6/7 6:52:51","258","40_quality_evidence\p2_method_prototype_review.md"
"tracked","2026/6/7 6:52:51","5110","40_quality_evidence\p2_completion_reality_audit.csv"
"tracked","2026/6/7 6:52:51","776","40_quality_evidence\p2_completion_reality_audit.md"
"tracked","2026/6/7 6:52:51","4238","40_quality_evidence\handoff_encoding_health_review.csv"
"tracked","2026/6/7 6:52:51","550","40_quality_evidence\handoff_encoding_health_review.md"
"tracked","2026/6/7 6:53:01","207301","40_quality_evidence\verification\implementation_verification_20260526.csv"
"tracked","2026/6/7 6:53:01","134384","40_quality_evidence\verification\implementation_verification_20260526.md"
"tracked","2026/6/7 7:22:09","220187","90_p6_expert_dashboard\app.py"
"tracked","2026/6/7 7:23:22","75391","60_model\simulation\demand_gap.py"
"tracked","2026/6/7 7:24:46","160116","90_p6_expert_dashboard\static\app.js"
"untracked","2026/6/7 1:00:38","0","40_quality_evidence\libreoffice_isolated_version_stderr_20260606.txt"
"untracked","2026/6/7 1:00:38","65","40_quality_evidence\libreoffice_isolated_version_stdout_20260606.txt"
"untracked","2026/6/7 1:01:15","56","40_quality_evidence\libreoffice_isolated_convert_stderr_20260606.txt"
"untracked","2026/6/7 1:01:20","208","40_quality_evidence\libreoffice_isolated_convert_stdout_20260606.txt"
"untracked","2026/6/7 1:01:58","6334","30_extraction\scripts\render_docx_with_isolated_libreoffice.py"
"untracked","2026/6/7 1:13:46","9231","30_extraction\scripts\build_recommendation_review_research_20260607.py"
"untracked","2026/6/7 1:15:15","6782","10_research\recommendation_review_framework_20260607.md"
"untracked","2026/6/7 1:15:15","55120","10_research\recommendation_review_openalex_20260607.json"
"untracked","2026/6/7 2:08:11","24076","30_extraction\scripts\build_expert_implementation_knowledge_base_20260607.py"
"untracked","2026/6/7 2:22:01","10095977","10_research\expert_implementation_knowledge_20260607\checkpoint.json"
"untracked","2026/6/7 2:22:02","19625511","10_research\expert_implementation_knowledge_20260607\expert_implementation_openalex_raw.json"
"untracked","2026/6/7 2:22:02","306850","10_research\expert_implementation_knowledge_20260607\expert_implementation_summary.json"
"untracked","2026/6/7 2:22:02","30987","10_research\expert_implementation_review_framework_20260607.md"
"untracked","2026/6/7 2:39:30","2515","10_research\osen_real_world_context_sources_20260607.md"
"untracked","2026/6/7 2:46:19","6085","30_extraction\scripts\verify_osen_docx_delivery_20260606.py"
"untracked","2026/6/7 3:00:02","4991","40_quality_evidence\osen_integrated_report_validation_20260606.json"
"untracked","2026/6/7 3:00:02","3073","40_quality_evidence\osen_integrated_report_validation_20260606.md"
"untracked","2026/6/7 3:00:46","1088566","40_quality_evidence\osen_report_docx_render_20260606\osen_integrated_site_selection_report_20260606.pdf"
"untracked","2026/6/7 3:00:47","298152","40_quality_evidence\osen_report_docx_render_20260606\page_01.png"
"untracked","2026/6/7 3:00:47","231456","40_quality_evidence\osen_report_docx_render_20260606\page_02.png"
"untracked","2026/6/7 3:00:47","262718","40_quality_evidence\osen_report_docx_render_20260606\page_03.png"
"untracked","2026/6/7 3:00:47","260283","40_quality_evidence\osen_report_docx_render_20260606\page_04.png"
"untracked","2026/6/7 3:00:47","287238","40_quality_evidence\osen_report_docx_render_20260606\page_05.png"
"untracked","2026/6/7 3:00:47","267075","40_quality_evidence\osen_report_docx_render_20260606\page_06.png"
"untracked","2026/6/7 3:00:47","268625","40_quality_evidence\osen_report_docx_render_20260606\page_07.png"
"untracked","2026/6/7 3:00:47","249122","40_quality_evidence\osen_report_docx_render_20260606\page_08.png"
"untracked","2026/6/7 3:00:47","269716","40_quality_evidence\osen_report_docx_render_20260606\page_09.png"
"untracked","2026/6/7 3:00:47","256847","40_quality_evidence\osen_report_docx_render_20260606\page_10.png"
"untracked","2026/6/7 3:00:47","249348","40_quality_evidence\osen_report_docx_render_20260606\page_11.png"
"untracked","2026/6/7 3:00:47","260802","40_quality_evidence\osen_report_docx_render_20260606\page_12.png"
"untracked","2026/6/7 3:00:47","257435","40_quality_evidence\osen_report_docx_render_20260606\page_13.png"
"untracked","2026/6/7 3:00:47","261375","40_quality_evidence\osen_report_docx_render_20260606\page_14.png"
"untracked","2026/6/7 3:00:47","251293","40_quality_evidence\osen_report_docx_render_20260606\page_15.png"
"untracked","2026/6/7 3:00:48","253109","40_quality_evidence\osen_report_docx_render_20260606\page_16.png"
"untracked","2026/6/7 3:00:48","285535","40_quality_evidence\osen_report_docx_render_20260606\page_17.png"
"untracked","2026/6/7 3:00:48","247054","40_quality_evidence\osen_report_docx_render_20260606\page_18.png"
"untracked","2026/6/7 3:00:48","5166","40_quality_evidence\osen_report_docx_render_20260606.json"
"untracked","2026/6/7 3:00:48","3052","40_quality_evidence\osen_report_docx_render_20260606.md"
"untracked","2026/6/7 3:01:05","2998","40_quality_evidence\osen_docx_delivery_validation_20260606.json"
"untracked","2026/6/7 3:01:05","1585","40_quality_evidence\osen_docx_delivery_validation_20260606.md"
"untracked","2026/6/7 3:23:46","21919","30_extraction\scripts\build_person_simulation_accuracy_requirements.py"
"untracked","2026/6/7 3:24:40","17616","40_quality_evidence\person_simulation_accuracy_requirements_20260605.json"
"untracked","2026/6/7 3:24:40","13812","40_quality_evidence\person_simulation_accuracy_requirements_20260605.md"
"untracked","2026/6/7 3:24:40","7798","70_outputs\processed_tables\person_simulation_accuracy_requirements_20260605.csv"
"untracked","2026/6/7 3:33:51","7505","30_extraction\scripts\verify_source_space_foundation_20260605.py"
"untracked","2026/6/7 3:34:47","3167","40_quality_evidence\source_space_foundation_validation_20260605.json"
"untracked","2026/6/7 3:34:47","745","40_quality_evidence\source_space_foundation_validation_20260605.md"
"untracked","2026/6/7 3:39:35","222938","40_quality_evidence\person_feature_pool_upload_visible_20260607.png"
"untracked","2026/6/7 3:39:36","149853","40_quality_evidence\person_feature_pool_preflight_visible_20260607.png"
"untracked","2026/6/7 3:39:36","399","40_quality_evidence\person_feature_pool_browser_visible_20260607.json"
"untracked","2026/6/7 3:51:56","149937","40_quality_evidence\feature_derivative_user_control_browser_20260607.png"
"untracked","2026/6/7 3:51:56","443","40_quality_evidence\feature_derivative_user_control_browser_20260607.json"
"untracked","2026/6/7 4:00:59","15954","30_extraction\scripts\build_person_simulation_feature_derivatives.py"
"untracked","2026/6/7 4:01:10","6984","30_extraction\scripts\verify_person_simulation_feature_derivatives_20260607.py"
"untracked","2026/6/7 4:01:25","2275733","70_outputs\processed_tables\person_simulation_feature_derivatives_1000_20260604.csv"
"untracked","2026/6/7 4:01:25","585","40_quality_evidence\person_simulation_feature_derivatives_generation_20260607.json"
"untracked","2026/6/7 4:01:40","2994","40_quality_evidence\person_simulation_feature_derivatives_validation_20260607.json"
"untracked","2026/6/7 4:01:40","2074","40_quality_evidence\person_simulation_feature_derivatives_validation_20260607.md"
"untracked","2026/6/7 4:05:33","4655","90_p6_expert_dashboard\qa\object_chain_rebaseline_validation_20260605.py"
"untracked","2026/6/7 4:06:41","7802","90_p6_expert_dashboard\qa\__pycache__\object_chain_rebaseline_validation_20260605.cpython-312.pyc"
"untracked","2026/6/7 4:10:04","146342","40_quality_evidence\feature_derivative_income_control_browser_20260607.png"
"untracked","2026/6/7 4:10:04","5229","40_quality_evidence\feature_derivative_income_control_browser_20260607.json"
"untracked","2026/6/7 4:34:19","337441","40_quality_evidence\report_feature_scene_context_browser_20260607.png"
"untracked","2026/6/7 4:34:19","2745","40_quality_evidence\report_feature_scene_context_browser_20260607.json"
"untracked","2026/6/7 5:06:46","2986","40_quality_evidence\object_chain_rebaseline_validation_20260605.json"
"untracked","2026/6/7 5:06:46","1573","40_quality_evidence\object_chain_rebaseline_validation_20260605.md"
"untracked","2026/6/7 5:14:27","0","90_p6_expert_dashboard\cache\uvicorn_8081_stdout.log"
"untracked","2026/6/7 5:14:27","0","90_p6_expert_dashboard\cache\uvicorn_8081_stderr.log"
"untracked","2026/6/7 5:24:08","20198","90_p6_expert_dashboard\qa\simulation_task_entry_preflight_validation_20260605.py"
"untracked","2026/6/7 5:37:18","28777","90_p6_expert_dashboard\qa\__pycache__\simulation_task_entry_preflight_validation_20260605.cpython-312.pyc"
"untracked","2026/6/7 5:37:18","16137","90_p6_expert_dashboard\qa\__pycache__\simulation_feature_scene_browser_validation_20260607.cpython-312.pyc"
"untracked","2026/6/7 5:53:57","6980","90_p6_expert_dashboard\qa\osen_report_browser_validation_20260606.py"
"untracked","2026/6/7 5:57:42","17595","90_p6_expert_dashboard\qa\__pycache__\report_feature_scene_context_validation_20260607.cpython-312.pyc"
"untracked","2026/6/7 5:57:42","11580","90_p6_expert_dashboard\qa\__pycache__\osen_report_browser_validation_20260606.cpython-312.pyc"
"untracked","2026/6/7 6:06:13","0","40_quality_evidence\dashboard_8081_current.err.log"
"untracked","2026/6/7 6:06:13","0","40_quality_evidence\dashboard_8081_current.out.log"
"untracked","2026/6/7 6:09:25","21608","30_extraction\scripts\build_osen_real_calibration_inputs_20260607.py"
"untracked","2026/6/7 6:19:36","83134","60_model\simulation\__pycache__\demand_gap.cpython-312.pyc"
"untracked","2026/6/7 6:19:36","36360","60_model\simulation\__pycache__\report_docx.cpython-312.pyc"
"untracked","2026/6/7 6:20:42","12801","40_quality_evidence\report_feature_scene_context_validation_20260607.json"
"untracked","2026/6/7 6:20:42","9010","40_quality_evidence\report_feature_scene_context_validation_20260607.md"
"untracked","2026/6/7 6:20:44","554987","40_quality_evidence\osen_report_browser_validation_20260606\report_view.png"
"untracked","2026/6/7 6:20:44","5797","40_quality_evidence\osen_report_browser_validation_20260606.json"
"untracked","2026/6/7 6:21:03","15399","40_quality_evidence\simulation_task_entry_preflight_validation_20260605.json"
"untracked","2026/6/7 6:21:03","10748","40_quality_evidence\simulation_task_entry_preflight_validation_20260605.md"
"untracked","2026/6/7 6:24:13","13472","90_p6_expert_dashboard\qa\real_calibration_supplement_loop_validation_20260607.py"
"untracked","2026/6/7 6:24:29","20229","90_p6_expert_dashboard\qa\__pycache__\real_calibration_supplement_loop_validation_20260607.cpython-312.pyc"
"untracked","2026/6/7 6:24:55","568627","40_quality_evidence\real_calibration_supplement_loop_validation_20260607\report_with_supplement.png"
"untracked","2026/6/7 6:24:56","19773","40_quality_evidence\osen_real_calibration_inputs_20260607.json"
"untracked","2026/6/7 6:24:56","4871","40_quality_evidence\osen_real_calibration_inputs_20260607.md"
"untracked","2026/6/7 6:24:56","12884","70_outputs\processed_tables\osen_real_calibration_inputs_20260607.csv"
"untracked","2026/6/7 6:24:57","12365","40_quality_evidence\real_calibration_supplement_loop_validation_20260607.json"
"untracked","2026/6/7 6:24:57","1583","40_quality_evidence\real_calibration_supplement_loop_validation_20260607.md"
"untracked","2026/6/7 6:29:14","202","40_quality_evidence\uvicorn_8081_stderr.log"
"untracked","2026/6/7 6:46:22","12396","90_p6_expert_dashboard\qa\simulation_feature_scene_dry_run_validation_20260607.py"
"untracked","2026/6/7 6:47:23","21816","60_model\simulation\__pycache__\engine.cpython-312.pyc"
"untracked","2026/6/7 6:47:23","3370","60_model\simulation\__pycache__\validators.cpython-312.pyc"
"untracked","2026/6/7 6:47:23","22362","60_model\db\__pycache__\store.cpython-312.pyc"
"untracked","2026/6/7 6:47:23","263687","90_p6_expert_dashboard\__pycache__\app.cpython-312.pyc"
"untracked","2026/6/7 6:47:23","17884","90_p6_expert_dashboard\qa\__pycache__\simulation_feature_scene_dry_run_validation_20260607.cpython-312.pyc"
"untracked","2026/6/7 6:47:39","11249","40_quality_evidence\simulation_feature_scene_dry_run_validation_20260607.json"
"untracked","2026/6/7 6:47:39","7140","40_quality_evidence\simulation_feature_scene_dry_run_validation_20260607.md"
"untracked","2026/6/7 6:48:55","11099","90_p6_expert_dashboard\qa\simulation_feature_scene_browser_validation_20260607.py"
"untracked","2026/6/7 6:49:15","1094958","40_quality_evidence\simulation_feature_scene_browser_validation_20260607\simulation_feature_scene.png"
"untracked","2026/6/7 6:49:15","133","90_p6_expert_dashboard\cache\simulation_feature_derivative_controls.json"
"untracked","2026/6/7 6:49:15","13124","40_quality_evidence\simulation_feature_scene_browser_validation_20260607.json"
"untracked","2026/6/7 6:50:01","10270","40_quality_evidence\uvicorn_8081_stdout.log"
"untracked","2026/6/7 6:51:03","90436","90_archive\codex_rollback_snapshot_20260607_072523\80_delivery__site_selection_gap_report_latest.json"
"untracked","2026/6/7 6:51:03","43854","90_archive\codex_rollback_snapshot_20260607_072523\80_delivery__site_selection_gap_report_latest.md"
"untracked","2026/6/7 6:51:04","57500","80_delivery\osen_integrated_site_selection_report_20260606.docx"
"untracked","2026/6/7 6:51:04","57500","90_archive\codex_rollback_snapshot_20260607_072523\80_delivery__osen_integrated_site_selection_report_20260606.docx"
"untracked","2026/6/7 6:51:04","990","40_quality_evidence\osen_integrated_report_docx_audit_20260606.json"
"untracked","2026/6/7 6:52:42","16135","30_extraction\scripts\__pycache__\analyze_cad_dxf_20260605.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","5419","30_extraction\scripts\__pycache__\analyze_cad_pdf_proxy_20260605.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","20356","30_extraction\scripts\__pycache__\audit_advanced_capability_and_legacy_methods_20260605.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","15389","30_extraction\scripts\__pycache__\audit_method_model_landing_coverage.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","12957","30_extraction\scripts\__pycache__\audit_page_rebuild_strategy_20260605.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","19265","30_extraction\scripts\__pycache__\audit_project_context_and_legacy_risks.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","12349","30_extraction\scripts\__pycache__\build_codex_mainline_context.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","29341","30_extraction\scripts\__pycache__\build_expert_implementation_knowledge_base_20260607.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","21388","30_extraction\scripts\__pycache__\build_first_evidence_ledger.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","23411","30_extraction\scripts\__pycache__\build_osen_real_calibration_inputs_20260607.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","29351","30_extraction\scripts\__pycache__\build_p2_real_site_input_index.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","20872","30_extraction\scripts\__pycache__\build_person_simulation_accuracy_requirements.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","15503","30_extraction\scripts\__pycache__\build_person_simulation_feature_derivatives.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","14217","30_extraction\scripts\__pycache__\build_poi_supply_base.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","11932","30_extraction\scripts\__pycache__\build_recommendation_review_research_20260607.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","15960","30_extraction\scripts\__pycache__\build_second_evidence_ledger.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","22569","30_extraction\scripts\__pycache__\deep_extraction_audit.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","5259","30_extraction\scripts\__pycache__\extract_pdf_native_tables.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","6057","30_extraction\scripts\__pycache__\extract_text.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","4759","30_extraction\scripts\__pycache__\keyword_scan.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","5172","30_extraction\scripts\__pycache__\profile_extracted_text.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","9432","30_extraction\scripts\__pycache__\render_docx_with_isolated_libreoffice.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","6961","30_extraction\scripts\__pycache__\review_handoff_and_encoding_health.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","18910","30_extraction\scripts\__pycache__\review_p0_field_verification_checklist.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","13620","30_extraction\scripts\__pycache__\review_p2_completion_reality.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","11670","30_extraction\scripts\__pycache__\review_poi_supply_base.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","8480","30_extraction\scripts\__pycache__\review_ppt_assumptions.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","27734","30_extraction\scripts\__pycache__\run_verification_suite.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","4476","30_extraction\scripts\__pycache__\source_inventory.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","16298","30_extraction\scripts\__pycache__\verify_image_pdf_tables.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","10841","30_extraction\scripts\__pycache__\verify_osen_docx_delivery_20260606.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","10229","30_extraction\scripts\__pycache__\verify_osen_integrated_report_20260606.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","28887","30_extraction\scripts\__pycache__\verify_pdf_tables.cpython-312.pyc"
"untracked","2026/6/7 6:52:42","11135","30_extraction\scripts\__pycache__\verify_person_simulation_feature_derivatives_20260607.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","354789","30_extraction\scripts\__pycache__\verify_project_implementation.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","8899","30_extraction\scripts\__pycache__\verify_session_recovery_20260606.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","8408","30_extraction\scripts\__pycache__\verify_source_space_foundation_20260605.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","5555","30_extraction\scripts\__pycache__\verify_workflow_navigation_20260605.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","1272","30_extraction\scripts\__pycache__\_tmp_pdf_check.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","14327","50_external_gis\scripts\__pycache__\build_amap_boundary_filter.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","17308","50_external_gis\scripts\__pycache__\build_amap_spatial_precheck.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","12180","50_external_gis\scripts\__pycache__\build_amap_supply_candidates.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","13917","50_external_gis\scripts\__pycache__\build_in_park_candidate_review.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","17671","50_external_gis\scripts\__pycache__\build_p0_in_park_followup_worklist.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","27490","50_external_gis\scripts\__pycache__\fetch_amap_p0_entrance_routes.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","16123","50_external_gis\scripts\__pycache__\fetch_amap_p0_routes.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","17309","50_external_gis\scripts\__pycache__\fetch_amap_poi.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","7941","50_external_gis\scripts\__pycache__\fetch_osm_park_boundaries.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","7198","50_external_gis\scripts\__pycache__\rebuild_amap_poi_clean_from_raw.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","11697","50_external_gis\scripts\__pycache__\review_amap_poi_fetch.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","4894","50_external_gis\scripts\__pycache__\run_amap_smoke_test.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","15675","60_model\src\__pycache__\auto_gate.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","10308","60_model\src\__pycache__\deepseek_review.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","20982","60_model\src\__pycache__\llm_router.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","6283","60_model\src\__pycache__\telemetry.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","25888","60_model\scripts\__pycache__\adapt_choice_probability_and_validation_targets.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","10374","60_model\scripts\__pycache__\adapt_deepseek_legacy_outputs.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","14107","60_model\scripts\__pycache__\adapt_p4_node_explanations.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","10311","60_model\scripts\__pycache__\audit_rebaseline_artifacts.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","13790","60_model\scripts\__pycache__\build_p2_method_prototype.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","1106","60_model\scripts\__pycache__\import_existing_outputs.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","1043","60_model\scripts\__pycache__\init_db.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","2186","60_model\scripts\__pycache__\make_postman_env.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","15404","60_model\scripts\__pycache__\review_deepseek_entrance_node_classification.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","15360","60_model\scripts\__pycache__\review_deepseek_evidence_candidates.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","9253","60_model\scripts\__pycache__\review_deepseek_p0_detail_query_plan.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","10099","60_model\scripts\__pycache__\review_deepseek_p0_field_verification_checklist.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","8811","60_model\scripts\__pycache__\review_deepseek_p0_verification_package.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","11644","60_model\scripts\__pycache__\review_deepseek_p1_quality_report.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","7486","60_model\scripts\__pycache__\review_deepseek_p2_completion_readiness_audit.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","9281","60_model\scripts\__pycache__\review_deepseek_p2_geometry_proxy_audit.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","9786","60_model\scripts\__pycache__\review_deepseek_p2_input_schema_candidates.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","11782","60_model\scripts\__pycache__\review_deepseek_p2_real_site_semantic_breakdown.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","8622","60_model\scripts\__pycache__\review_deepseek_p2_source_coverage_audit.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","11407","60_model\scripts\__pycache__\review_deepseek_p3_calibration_execution_package.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","15319","60_model\scripts\__pycache__\review_deepseek_p3_prework_package.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","8324","60_model\scripts\__pycache__\review_deepseek_p4_feedback_draft.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","7313","60_model\scripts\__pycache__\review_deepseek_project_context_sync.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","12565","60_model\scripts\__pycache__\review_deepseek_table_classification.cpython-312.pyc"
"untracked","2026/6/7 6:52:43","8308","60_model\scripts\__pycache__\review_p2_method_prototype.cpython-312.pyc"
